District Name,SPED_ENR_N,TOTAL_ENR,SPED_PROP,PS_RCGT80_%,PS_RC4079_%,PS_RCL40_%,PS_SSOS_%,PS_PSS_%,PS_MUK_%,RB,RB_PROP,RI,RI_PROP,RA,RA_PROP,RF,RF_PROP,RH,RH_PROP,RD,RD_PROP,RP,RP_PROP,RT,RT_PROP,RW,RW_PROP,state,urban code,city,Cluster
claremont unified,946.0,6261.0,0.1510940744290049,55.9,17.9,20.3,1.6,4.3,0,57,0.0602536997885835,0,0.0,43,0.0454545454545454,14,0.014799154334038,503,0.5317124735729387,22,0.0232558139534883,0,0.0,52,0.054968287526427,248,0.2621564482029598,CA,21,CLAREMONT,1
clovis unified,4693.0,43291.0,0.1084059042295165,55.6,11.5,20.7,1.4,10.8,0,224,0.0477306626891114,51,0.0108672490943959,514,0.1095248242062646,81,0.0172597485616876,2292,0.4883869593010867,42,0.0089494992542083,13,0.002770083102493,210,0.0447474962710419,1266,0.2697634775197102,CA,21,CLOVIS,1
compton unified,2624.0,19743.0,0.1329078660791166,60.6,7.2,26.1,1.6,4.5,0,672,0.2560975609756097,0,0.0,0,0.0,0,0.0,1901,0.7244664634146342,0,0.0,0,0.0,17,0.0064786585365853,0,0.0,CA,13,COMPTON,1
contra costa county office of education,880.0,6145.0,0.1432058584214808,63.9,10.0,15.7,9.1,1.4,0,149,0.1693181818181818,0,0.0,21,0.0238636363636363,17,0.0193181818181818,469,0.5329545454545455,35,0.0397727272727272,0,0.0,36,0.0409090909090909,147,0.1670454545454545,CA,22,PLEASANT HILL,0
corona-norco unified,7074.0,50256.0,0.1407593123209169,54.1,18.8,18.7,1.8,6.6,0,440,0.062199604184337,29,0.0040995193666949,451,0.0637545942889454,160,0.0226180378852134,4251,0.600932994062765,90,0.0127226463104325,13,0.0018377155781735,135,0.0190839694656488,1505,0.212750918857789,CA,21,NORCO,1
coronado unified,383.0,2739.0,0.1398320554947061,76.2,14.4,2.6,3.4,3.4,0,0,0.0,0,0.0,0,0.0,0,0.0,89,0.2323759791122715,28,0.0731070496083551,0,0.0,29,0.0757180156657963,221,0.577023498694517,CA,21,CORONADO,0
cotati-rohnert park unified,1003.0,6595.0,0.1520849128127369,55.4,14.1,17.0,4.3,9.2,0,26,0.0259222333000997,0,0.0,24,0.0239282153539381,0,0.0,451,0.4496510468594217,47,0.0468594217347956,0,0.0,50,0.0498504486540378,387,0.3858424725822532,CA,21,ROHNERT PARK,1
covina-valley unified,1697.0,11143.0,0.1522929193215471,39.0,33.5,17.9,1.8,7.9,0,66,0.0388921626399528,0,0.0,62,0.0365350618738951,39,0.022981732469063,1391,0.8196817913965821,0,0.0,0,0.0,23,0.013553329404832,99,0.0583382439599292,CA,21,COVINA,2
cupertino union,1127.0,13587.0,0.0829469345698093,61.1,15.4,14.6,0.7,8.1,0,20,0.0177462289263531,0,0.0,502,0.4454303460514641,21,0.0186335403726708,218,0.1934338952972493,62,0.0550133096716947,0,0.0,86,0.0763087843833185,213,0.188997338065661,CA,13,CUPERTINO,1
davis joint unified,1288.0,8361.0,0.1540485587848343,79.1,12.3,1.9,0.9,5.8,0,80,0.062111801242236,15,0.0116459627329192,88,0.0683229813664596,0,0.0,444,0.3447204968944099,22,0.0170807453416149,0,0.0,89,0.0690993788819875,540,0.4192546583850932,CA,23,DAVIS,0
dehesa elementary,1219.0,11667.0,0.1044827290648838,94.3,2.2,1.3,1.0,1.1,0,39,0.0319934372436423,0,0.0,37,0.0303527481542247,0,0.0,452,0.3707957342083675,30,0.0246103363412633,0,0.0,91,0.0746513535684987,551,0.4520098441345365,CA,11,EL CAJON,0
del norte county unified,670.0,3722.0,0.1800107469102633,54.5,22.2,11.8,0.6,10.9,0,0,0.0,106,0.1582089552238806,15,0.0223880597014925,0,0.0,157,0.2343283582089552,0,0.0,0,0.0,54,0.0805970149253731,329,0.491044776119403,CA,33,CRESCENT CITY,1
desert sands unified,3345.0,25898.0,0.1291605529384508,47.4,25.8,20.8,0.4,5.6,0,58,0.0173393124065769,0,0.0,39,0.0116591928251121,15,0.0044843049327354,2652,0.7928251121076233,62,0.0185351270553064,0,0.0,68,0.0203288490284005,441,0.1318385650224215,CA,21,LA QUINTA,2
dixon unified,526.0,3489.0,0.1507595299512754,71.5,5.7,12.4,2.1,8.4,0,24,0.0456273764258555,0,0.0,0,0.0,0,0.0,325,0.6178707224334601,11,0.0209125475285171,0,0.0,20,0.0380228136882129,130,0.247148288973384,CA,31,DIXON,0
